Age,Age_Group,Gender,Department,JobRole,MonthlyIncome,JobSatisfaction,WorkLifeBalance,YearsAtCompany,OverTime,predicted_label,Attrition,true_label
20,Under 30,Male,Research & Development,Sales Executive,5572,1,2,29,No,0,No,0
54,50+,Male,Human Resources,Manufacturing Director,8816,3,1,0,No,0,Yes,1
48,40-49,Male,Research & Development,Research Scientist,5976,2,3,22,Yes,1,Yes,1
33,30-39,Female,Human Resources,Human Resources,3343,3,3,22,Yes,1,No,0
46,40-49,Male,Research & Development,Sales Representative,13185,2,1,4,Yes,1,Yes,1
24,Under 30,Male,Research & Development,Human Resources,8400,1,1,18,Yes,1,Yes,1
59,50+,Female,Research & Development,Sales Representative,10905,2,1,21,No,1,No,0
55,50+,Male,Sales,Research Scientist,4903,3,3,18,No,0,No,0
28,Under 30,Female,Research & Development,Research Scientist,13174,2,2,11,Yes,1,No,0
35,30-39,Male,Research & Development,Research Director,10200,4,2,1,No,0,No,0
43,40-49,Female,Research & Development,Human Resources,9970,4,2,12,No,0,No,0
30,30-39,Female,Research & Development,Manager,13299,2,2,13,No,0,Yes,1
53,50+,Female,Human Resources,Laboratory Technician,7573,4,3,14,No,0,No,0
19,Under 30,Male,Research & Development,Human Resources,3192,3,2,11,No,0,No,0
50,50+,Female,Research & Development,Sales Representative,13128,4,1,13,Yes,1,Yes,1
45,40-49,Female,Research & Development,Sales Executive,4670,3,1,12,No,1,Yes,1
39,30-39,Male,Sales,Human Resources,18917,4,1,18,Yes,1,Yes,1
40,40-49,Female,Sales,Research Scientist,15769,2,1,3,Yes,1,Yes,1
40,40-49,Female,Research & Development,Healthcare Representative,3632,3,2,24,Yes,0,No,0
54,50+,Male,Sales,Sales Representative,11881,4,1,23,No,0,No,0
56,50+,Male,Research & Development,Laboratory Technician,6729,4,2,5,No,0,No,0
48,40-49,Male,Sales,Human Resources,9768,3,2,29,No,0,No,0
40,40-49,Male,Human Resources,Laboratory Technician,3246,3,3,18,No,0,No,0
25,Under 30,Female,Research & Development,Research Scientist,8969,2,3,21,Yes,1,Yes,1
48,40-49,Male,Sales,Laboratory Technician,6749,2,1,4,No,0,No,0
34,30-39,Male,Research & Development,Manager,8726,1,1,24,No,1,Yes,1
51,50+,Male,Research & Development,Sales Executive,15328,1,1,12,No,0,Yes,1
40,40-49,Female,Sales,Manufacturing Director,17957,1,1,10,No,1,No,0
56,50+,Male,Sales,Manufacturing Director,2948,1,2,16,Yes,1,Yes,1
58,50+,Male,Research & Development,Healthcare Representative,6577,3,2,23,No,0,No,0
42,40-49,Female,Research & Development,Research Scientist,16248,4,1,5,No,1,No,0
45,40-49,Female,Research & Development,Sales Executive,8063,2,1,10,Yes,1,Yes,1
32,30-39,Male,Research & Development,Human Resources,7048,2,2,26,No,0,No,0
38,30-39,Female,Human Resources,Research Scientist,6712,4,3,3,Yes,0,No,0
23,Under 30,Female,Research & Development,Research Director,18689,2,2,18,No,1,No,0
25,Under 30,Female,Research & Development,Laboratory Technician,15313,2,3,1,No,1,Yes,1
50,50+,Male,Research & Development,Research Director,12804,4,1,24,No,0,No,0
38,30-39,Male,Research & Development,Research Scientist,9493,1,2,26,No,0,No,0
38,30-39,Male,Human Resources,Laboratory Technician,11724,1,3,22,Yes,1,Yes,1
27,Under 30,Male,Sales,Manufacturing Director,11440,2,2,9,No,0,No,0
57,50+,Female,Human Resources,Human Resources,5660,4,3,16,Yes,1,No,0
21,Under 30,Male,Research & Development,Laboratory Technician,6858,4,1,26,No,1,No,0
26,Under 30,Male,Research & Development,Manufacturing Director,14218,4,1,6,No,1,No,0
47,40-49,Male,Sales,Manufacturing Director,5685,2,1,27,No,0,No,0
45,40-49,Female,Research & Development,Laboratory Technician,5957,3,2,22,No,0,No,0
47,40-49,Male,Sales,Human Resources,6357,1,3,16,No,0,No,0
40,40-49,Male,Sales,Manufacturing Director,18082,4,3,26,No,0,No,0
41,40-49,Male,Research & Development,Research Director,16035,3,3,13,No,0,No,0
27,Under 30,Male,Research & Development,Healthcare Representative,3632,2,1,14,No,1,Yes,1
55,50+,Male,Sales,Manager,15319,2,1,24,No,1,No,0
36,30-39,Female,Human Resources,Laboratory Technician,7182,4,1,3,No,0,No,0
59,50+,Female,Sales,Human Resources,6883,1,2,24,No,1,No,0
50,50+,Female,Sales,Manufacturing Director,3929,4,3,13,Yes,1,No,0
42,40-49,Female,Sales,Manager,10643,3,3,9,No,0,No,0
38,30-39,Female,Research & Development,Manager,9326,3,3,12,Yes,0,No,0
37,30-39,Male,Research & Development,Research Director,19994,2,2,11,Yes,0,Yes,1
33,30-39,Male,Human Resources,Research Director,6172,1,2,8,Yes,1,No,0
19,Under 30,Male,Research & Development,Manager,8966,4,2,16,No,0,No,0
53,50+,Female,Research & Development,Sales Executive,9829,4,2,17,No,0,No,0
54,50+,Male,Human Resources,Research Director,18594,3,2,14,No,0,No,0
28,Under 30,Male,Research & Development,Sales Representative,16531,3,1,0,Yes,1,Yes,1
24,Under 30,Female,Research & Development,Healthcare Representative,4802,3,2,13,Yes,1,No,0
37,30-39,Male,Human Resources,Research Director,2955,2,1,24,No,1,Yes,1
58,50+,Male,Research & Development,Manager,6882,2,3,5,No,1,No,0
24,Under 30,Female,Sales,Sales Executive,13111,2,3,5,No,1,No,0
28,Under 30,Male,Sales,Manufacturing Director,19506,4,3,25,No,0,No,0
58,50+,Female,Human Resources,Manufacturing Director,17553,1,1,23,No,1,Yes,1
44,40-49,Female,Sales,Sales Executive,4066,2,2,18,Yes,1,Yes,1
50,50+,Male,Sales,Sales Executive,18546,4,2,22,Yes,0,No,0
25,Under 30,Female,Research & Development,Manager,16680,4,2,28,No,0,No,0
25,Under 30,Female,Research & Development,Sales Executive,16156,2,1,17,No,1,No,0
18,Under 30,Male,Research & Development,Research Director,17476,3,1,25,Yes,1,Yes,1
49,40-49,Female,Research & Development,Research Scientist,13388,2,1,9,No,1,No,0
48,40-49,Male,Research & Development,Laboratory Technician,6869,1,2,10,No,0,No,0
20,Under 30,Female,Research & Development,Laboratory Technician,15088,2,2,12,No,1,No,0
38,30-39,Male,Human Resources,Manufacturing Director,17726,2,1,20,Yes,1,Yes,1
22,Under 30,Male,Research & Development,Research Director,4371,2,2,16,No,1,No,0
55,50+,Male,Sales,Laboratory Technician,2650,4,1,9,Yes,1,Yes,1
31,30-39,Male,Sales,Sales Executive,11438,2,3,22,No,0,No,0
41,40-49,Male,Research & Development,Laboratory Technician,14846,3,2,2,No,0,No,0
49,40-49,Female,Research & Development,Human Resources,17711,1,2,29,Yes,1,Yes,1
33,30-39,Male,Research & Development,Human Resources,15757,2,3,23,No,0,No,0
30,30-39,Male,Human Resources,Human Resources,8452,2,3,18,No,0,No,0
41,40-49,Female,Sales,Manufacturing Director,18749,4,1,6,No,0,No,0
26,Under 30,Female,Research & Development,Human Resources,2219,2,3,14,No,1,No,0
33,30-39,Male,Research & Development,Research Scientist,15894,4,3,2,No,0,No,0
57,50+,Male,Research & Development,Manager,5406,3,2,7,No,0,No,0
42,40-49,Male,Research & Development,Laboratory Technician,19381,4,2,9,Yes,0,No,0
32,30-39,Female,Research & Development,Research Scientist,11347,3,2,19,Yes,1,No,0
47,40-49,Male,Research & Development,Research Director,2251,3,3,19,No,0,No,0
59,50+,Male,Research & Development,Research Director,7323,3,1,15,Yes,0,No,0
30,30-39,Female,Human Resources,Manufacturing Director,17561,3,1,14,No,1,No,0
38,30-39,Male,Human Resources,Sales Representative,15457,1,3,13,No,0,No,0
55,50+,Male,Research & Development,Sales Representative,2798,2,2,9,Yes,0,Yes,1
32,30-39,Male,Sales,Manufacturing Director,7723,2,2,5,No,0,No,0
18,Under 30,Male,Sales,Healthcare Representative,7428,2,3,16,No,0,No,0
33,30-39,Male,Research & Development,Human Resources,6559,3,2,21,No,0,No,0
46,40-49,Male,Research & Development,Research Scientist,6610,1,1,6,No,0,No,0
40,40-49,Male,Research & Development,Sales Executive,19763,2,2,22,No,0,No,0
36,30-39,Male,Sales,Research Scientist,14330,2,2,24,No,0,No,0
52,50+,Male,Human Resources,Laboratory Technician,15558,1,1,21,No,1,No,0
44,40-49,Female,Research & Development,Manager,10151,2,3,16,No,1,No,0
51,50+,Female,Research & Development,Healthcare Representative,13041,3,1,2,Yes,1,Yes,1
24,Under 30,Male,Research & Development,Laboratory Technician,8348,1,2,18,No,1,Yes,1
29,Under 30,Male,Research & Development,Manufacturing Director,6856,3,2,20,No,0,No,0
57,50+,Male,Research & Development,Manager,7400,1,1,2,No,1,Yes,1
27,Under 30,Male,Research & Development,Manufacturing Director,7089,4,3,10,Yes,1,No,0
39,30-39,Male,Sales,Manager,6870,3,2,10,No,0,No,0
50,50+,Male,Research & Development,Manufacturing Director,13084,1,1,8,Yes,1,Yes,1
29,Under 30,Female,Research & Development,Human Resources,15118,3,1,19,Yes,1,Yes,1
45,40-49,Female,Sales,Manufacturing Director,2474,4,2,24,No,0,No,0
38,30-39,Female,Research & Development,Sales Executive,18544,4,2,12,Yes,1,No,0
57,50+,Female,Human Resources,Research Scientist,7074,2,1,1,No,1,Yes,1
55,50+,Male,Sales,Laboratory Technician,16964,3,3,9,No,0,No,0
32,30-39,Male,Sales,Research Scientist,9802,4,3,20,No,0,No,0
49,40-49,Male,Sales,Manager,4944,1,3,18,No,0,No,0
23,Under 30,Female,Sales,Manager,4509,4,3,16,No,1,No,0
50,50+,Female,Human Resources,Human Resources,4619,3,1,22,Yes,1,Yes,1
36,30-39,Female,Sales,Laboratory Technician,14095,4,2,29,No,0,No,0
51,50+,Female,Research & Development,Healthcare Representative,10879,2,1,15,No,1,No,0
47,40-49,Male,Human Resources,Sales Executive,16256,4,3,3,Yes,0,No,0
44,40-49,Male,Sales,Laboratory Technician,18296,2,1,4,No,1,No,0
43,40-49,Male,Research & Development,Healthcare Representative,10411,2,3,29,No,0,No,0
40,40-49,Female,Sales,Sales Representative,12450,3,1,7,Yes,1,Yes,1
45,40-49,Male,Human Resources,Research Scientist,12309,4,1,23,Yes,0,Yes,1
21,Under 30,Male,Sales,Human Resources,9342,2,3,24,Yes,1,No,0
28,Under 30,Female,Research & Development,Laboratory Technician,13613,1,3,8,No,1,No,0
38,30-39,Female,Human Resources,Research Director,18810,2,1,21,Yes,1,Yes,1
26,Under 30,Female,Research & Development,Laboratory Technician,5362,1,3,24,No,1,No,0
29,Under 30,Female,Sales,Manager,10122,3,2,6,Yes,1,No,0
55,50+,Male,Research & Development,Sales Representative,5798,2,2,8,No,0,No,0
18,Under 30,Female,Research & Development,Sales Executive,5109,3,3,8,No,1,No,0
29,Under 30,Male,Research & Development,Sales Executive,2237,3,3,13,No,0,No,0
40,40-49,Male,Human Resources,Manager,16417,1,1,1,No,1,Yes,1
58,50+,Male,Research & Development,Manufacturing Director,14239,2,1,18,Yes,1,Yes,1
23,Under 30,Female,Research & Development,Sales Representative,18472,2,3,20,No,1,No,0
49,40-49,Male,Research & Development,Research Scientist,3222,2,3,7,No,0,No,0
56,50+,Male,Sales,Sales Executive,6946,4,2,26,Yes,0,No,0
45,40-49,Female,Research & Development,Healthcare Representative,13376,3,1,26,No,0,No,0
27,Under 30,Female,Research & Development,Manufacturing Director,16016,2,1,26,No,1,No,0
33,30-39,Male,Sales,Sales Representative,16474,3,2,21,No,0,No,0
37,30-39,Female,Research & Development,Research Director,13427,3,3,4,No,0,No,0
39,30-39,Male,Sales,Sales Executive,12568,1,1,10,No,0,Yes,1
59,50+,Male,Research & Development,Research Director,10069,3,3,8,No,0,No,0
41,40-49,Male,Research & Development,Human Resources,13142,1,1,2,No,1,Yes,1
47,40-49,Female,Research & Development,Sales Representative,16428,4,3,19,Yes,1,Yes,1
31,30-39,Male,Research & Development,Manager,8951,2,1,29,No,0,Yes,1
43,40-49,Male,Sales,Human Resources,9947,4,3,3,No,0,No,0
25,Under 30,Male,Sales,Sales Executive,12141,1,2,22,Yes,1,No,0
43,40-49,Male,Research & Development,Sales Executive,13601,1,2,16,Yes,1,No,0
39,30-39,Male,Research & Development,Sales Executive,19536,4,1,3,No,0,No,0
57,50+,Female,Sales,Sales Executive,10758,3,2,15,No,1,No,0
29,Under 30,Male,Research & Development,Healthcare Representative,19010,2,3,27,Yes,1,Yes,1
26,Under 30,Male,Research & Development,Sales Representative,14011,1,3,9,Yes,1,Yes,1
47,40-49,Female,Research & Development,Sales Representative,7743,3,1,10,No,1,No,0
54,50+,Male,Research & Development,Research Director,6952,4,3,6,No,0,No,0
35,30-39,Male,Research & Development,Sales Representative,13575,2,3,0,No,1,Yes,1
57,50+,Male,Research & Development,Manufacturing Director,12757,4,2,21,No,0,No,0
52,50+,Male,Research & Development,Research Scientist,16338,4,3,1,No,0,No,0
37,30-39,Male,Research & Development,Manager,12925,4,1,0,No,0,No,0
29,Under 30,Male,Research & Development,Sales Executive,9085,1,2,1,Yes,1,Yes,1
58,50+,Male,Sales,Healthcare Representative,11093,4,3,23,No,0,No,0
54,50+,Male,Research & Development,Sales Representative,13272,4,3,29,No,0,No,0
56,50+,Male,Sales,Sales Representative,16120,4,1,16,Yes,0,No,0
47,40-49,Female,Human Resources,Sales Representative,15850,4,1,8,No,0,No,0
20,Under 30,Female,Human Resources,Laboratory Technician,12155,2,1,3,No,1,Yes,1
25,Under 30,Male,Research & Development,Laboratory Technician,17157,2,1,20,No,0,No,0
59,50+,Male,Research & Development,Research Scientist,19153,1,2,27,No,0,No,0
45,40-49,Male,Human Resources,Research Director,19303,1,2,15,No,0,No,0
56,50+,Female,Research & Development,Research Scientist,9244,2,1,15,No,1,No,0
18,Under 30,Male,Sales,Human Resources,4223,3,3,25,Yes,1,No,0
34,30-39,Male,Human Resources,Human Resources,18192,2,2,26,No,0,No,0
32,30-39,Male,Sales,Healthcare Representative,8756,4,2,26,No,0,No,0
34,30-39,Female,Sales,Manager,15571,2,3,25,No,1,No,0
29,Under 30,Female,Research & Development,Research Scientist,16344,2,2,27,No,1,No,0
57,50+,Male,Research & Development,Sales Representative,8245,3,3,10,Yes,0,No,0
36,30-39,Male,Research & Development,Sales Representative,19404,3,3,11,Yes,0,No,0
42,40-49,Male,Research & Development,Healthcare Representative,6273,1,1,28,No,0,Yes,1
55,50+,Male,Research & Development,Manager,12541,3,3,1,No,0,No,0
20,Under 30,Female,Research & Development,Research Scientist,6994,1,1,27,Yes,1,Yes,1
41,40-49,Female,Sales,Manufacturing Director,6637,1,2,15,No,1,No,0
20,Under 30,Female,Research & Development,Sales Representative,14991,1,2,16,Yes,1,No,0
29,Under 30,Female,Sales,Manager,7947,3,1,18,No,1,No,0
25,Under 30,Male,Sales,Sales Representative,13540,1,3,8,Yes,1,No,0
49,40-49,Female,Sales,Human Resources,12167,2,3,22,No,0,No,0
39,30-39,Female,Research & Development,Human Resources,2066,1,2,26,Yes,1,Yes,1
31,30-39,Male,Sales,Research Scientist,17035,1,1,6,No,1,No,0
33,30-39,Female,Sales,Laboratory Technician,5801,2,2,1,No,1,No,0
40,40-49,Female,Research & Development,Laboratory Technician,10956,1,2,17,Yes,1,Yes,1
31,30-39,Female,Research & Development,Laboratory Technician,11601,1,3,22,No,0,No,0
33,30-39,Male,Human Resources,Research Director,15950,3,1,11,No,0,No,0
51,50+,Male,Human Resources,Research Scientist,5754,1,3,25,No,0,No,0
35,30-39,Female,Sales,Human Resources,2836,4,3,25,No,0,No,0
52,50+,Male,Research & Development,Laboratory Technician,17709,1,3,17,No,0,No,0
42,40-49,Male,Research & Development,Laboratory Technician,17432,2,1,21,Yes,1,Yes,1
31,30-39,Male,Sales,Research Scientist,16814,4,2,29,No,0,No,0
53,50+,Male,Human Resources,Human Resources,11985,4,1,13,No,0,No,0
57,50+,Male,Research & Development,Healthcare Representative,16283,3,2,14,No,0,No,0
20,Under 30,Female,Research & Development,Research Director,9967,1,3,0,No,1,No,0
19,Under 30,Male,Sales,Laboratory Technician,12228,2,1,16,Yes,1,Yes,1
55,50+,Male,Research & Development,Sales Representative,12914,3,2,7,No,0,No,0
59,50+,Male,Research & Development,Healthcare Representative,15712,2,1,25,No,1,Yes,1
39,30-39,Male,Sales,Manager,8464,4,3,18,No,0,No,0
42,40-49,Female,Sales,Research Scientist,15615,2,1,17,No,1,No,0
43,40-49,Female,Sales,Laboratory Technician,8822,1,3,18,No,0,No,0
25,Under 30,Male,Research & Development,Healthcare Representative,2387,3,3,13,No,0,No,0
44,40-49,Male,Sales,Human Resources,6480,1,1,11,No,1,Yes,1
42,40-49,Female,Research & Development,Healthcare Representative,5398,1,3,20,Yes,1,Yes,1
55,50+,Male,Research & Development,Sales Representative,12021,1,2,16,No,0,No,0
46,40-49,Female,Sales,Healthcare Representative,2093,3,1,16,No,1,No,0
58,50+,Female,Research & Development,Research Scientist,10646,1,3,19,No,0,No,0
36,30-39,Female,Sales,Laboratory Technician,13535,1,1,13,No,1,No,0
23,Under 30,Male,Research & Development,Sales Representative,19593,1,1,5,No,1,No,0
18,Under 30,Female,Research & Development,Manager,17552,2,2,22,No,1,No,0
50,50+,Male,Research & Development,Healthcare Representative,14432,4,2,19,No,0,No,0
47,40-49,Male,Research & Development,Healthcare Representative,10739,1,1,18,No,1,Yes,1
33,30-39,Male,Research & Development,Laboratory Technician,7680,4,2,16,No,0,No,0
35,30-39,Male,Sales,Manufacturing Director,16913,4,1,20,No,0,No,0
32,30-39,Female,Sales,Research Scientist,12070,3,2,25,No,0,No,0
54,50+,Male,Research & Development,Healthcare Representative,7306,1,2,21,No,0,No,0
46,40-49,Female,Sales,Human Resources,8091,4,3,17,No,0,No,0
33,30-39,Female,Research & Development,Research Scientist,5442,3,3,12,No,0,No,0
33,30-39,Male,Sales,Healthcare Representative,18289,4,2,6,Yes,0,No,0
38,30-39,Male,Research & Development,Sales Executive,16452,3,3,1,No,0,No,0
41,40-49,Male,Sales,Manufacturing Director,9482,1,2,23,No,0,No,0
52,50+,Male,Human Resources,Healthcare Representative,10763,3,3,0,Yes,1,Yes,1
32,30-39,Male,Research & Development,Sales Representative,9660,3,1,20,No,0,No,0
53,50+,Female,Sales,Research Scientist,5260,4,2,26,No,0,No,0
32,30-39,Male,Sales,Manager,7617,2,2,3,Yes,1,No,0
32,30-39,Female,Research & Development,Manufacturing Director,6136,1,1,6,No,1,Yes,1
55,50+,Male,Research & Development,Human Resources,2983,1,2,18,Yes,1,Yes,1
38,30-39,Male,Sales,Manager,11676,3,1,16,No,0,No,0
18,Under 30,Male,Human Resources,Sales Representative,2559,4,2,11,No,1,No,0
42,40-49,Male,Research & Development,Healthcare Representative,19080,2,3,19,No,0,No,0
58,50+,Female,Research & Development,Sales Representative,3831,3,1,24,No,1,No,0
42,40-49,Male,Research & Development,Research Director,17576,3,2,15,No,0,No,0
35,30-39,Female,Research & Development,Research Scientist,17007,4,1,29,No,0,No,0
21,Under 30,Female,Sales,Research Director,17758,1,1,1,No,1,Yes,1
40,40-49,Male,Research & Development,Research Scientist,5436,3,1,24,Yes,1,Yes,1
42,40-49,Male,Sales,Research Director,7102,2,2,6,Yes,0,Yes,1
47,40-49,Male,Research & Development,Research Scientist,7566,3,3,13,No,0,No,0
48,40-49,Male,Sales,Manufacturing Director,19881,4,3,18,No,0,No,0
39,30-39,Male,Human Resources,Sales Representative,9778,4,2,20,No,0,No,0
31,30-39,Male,Research & Development,Human Resources,5169,3,1,12,No,0,No,0
45,40-49,Male,Research & Development,Sales Representative,3729,1,3,0,No,1,Yes,1
55,50+,Female,Research & Development,Research Director,17321,3,2,9,Yes,1,No,0
51,50+,Male,Research & Development,Laboratory Technician,16013,4,3,10,No,0,No,0
34,30-39,Male,Human Resources,Research Scientist,8233,1,3,4,Yes,1,Yes,1
29,Under 30,Female,Human Resources,Manufacturing Director,19599,1,1,8,No,1,Yes,1
53,50+,Male,Sales,Healthcare Representative,6129,3,1,0,No,0,Yes,1
54,50+,Male,Research & Development,Research Scientist,8398,2,1,17,Yes,1,Yes,1
50,50+,Female,Research & Development,Manager,19463,4,1,17,Yes,1,No,0
20,Under 30,Male,Research & Development,Research Scientist,12210,3,3,26,No,0,No,0
47,40-49,Male,Research & Development,Sales Representative,8495,4,3,22,No,0,No,0
42,40-49,Female,Research & Development,Sales Representative,7263,4,3,22,No,0,No,0
26,Under 30,Female,Research & Development,Healthcare Representative,2983,1,3,9,No,1,Yes,1
19,Under 30,Female,Sales,Research Director,17080,2,3,5,Yes,1,No,0
31,30-39,Male,Research & Development,Research Scientist,8681,2,1,29,No,0,Yes,1
59,50+,Male,Sales,Research Director,11211,2,2,9,No,0,No,0
41,40-49,Male,Research & Development,Human Resources,19567,3,3,25,No,0,No,0
58,50+,Female,Research & Development,Healthcare Representative,10587,3,2,14,No,0,No,0
46,40-49,Female,Research & Development,Healthcare Representative,17117,2,2,17,Yes,1,No,0
40,40-49,Male,Sales,Manufacturing Director,12385,4,2,27,No,0,No,0
30,30-39,Female,Sales,Manufacturing Director,13681,1,3,18,No,1,No,0
43,40-49,Male,Research & Development,Healthcare Representative,8508,4,1,9,Yes,0,Yes,1
39,30-39,Male,Sales,Healthcare Representative,16239,3,1,11,No,0,No,0
57,50+,Male,Sales,Healthcare Representative,14472,4,1,6,No,0,No,0
40,40-49,Female,Sales,Manufacturing Director,6797,1,2,17,Yes,1,No,0
48,40-49,Male,Research & Development,Manufacturing Director,2695,4,1,7,No,0,No,0
47,40-49,Male,Research & Development,Sales Representative,3607,2,3,8,Yes,1,Yes,1
43,40-49,Female,Research & Development,Manufacturing Director,11085,2,1,21,No,1,Yes,1
55,50+,Female,Research & Development,Healthcare Representative,15464,2,3,17,No,1,No,0
22,Under 30,Male,Research & Development,Research Director,16570,1,2,29,No,1,No,0
23,Under 30,Female,Research & Development,Manager,19197,1,2,29,Yes,1,No,0
18,Under 30,Male,Research & Development,Sales Executive,19226,4,2,12,No,0,No,0
37,30-39,Male,Research & Development,Manufacturing Director,15237,1,3,25,Yes,1,Yes,1
44,40-49,Male,Research & Development,Research Director,19802,3,2,3,No,0,No,0
50,50+,Male,Research & Development,Manager,2688,4,3,26,No,0,No,0
38,30-39,Female,Research & Development,Sales Representative,10084,3,1,17,Yes,1,No,0
28,Under 30,Male,Research & Development,Manufacturing Director,12388,4,1,13,Yes,1,Yes,1
18,Under 30,Male,Research & Development,Laboratory Technician,15618,1,1,18,Yes,1,Yes,1
31,30-39,Female,Research & Development,Manufacturing Director,17093,1,3,6,No,1,No,0
36,30-39,Female,Research & Development,Laboratory Technician,3337,1,2,13,Yes,1,Yes,1
20,Under 30,Female,Research & Development,Sales Executive,16625,4,2,4,No,1,No,0
32,30-39,Male,Sales,Research Scientist,18480,2,2,8,No,0,No,0
46,40-49,Male,Research & Development,Manufacturing Director,17120,3,3,16,No,0,No,0
18,Under 30,Female,Human Resources,Manager,14633,4,1,27,No,1,No,0
35,30-39,Female,Research & Development,Manager,18452,4,2,28,No,0,No,0
47,40-49,Male,Sales,Human Resources,9887,3,2,1,No,0,No,0
27,Under 30,Male,Sales,Laboratory Technician,7137,2,2,21,No,0,No,0
44,40-49,Male,Research & Development,Sales Executive,15241,4,1,2,No,0,No,0
20,Under 30,Male,Research & Development,Manager,6803,1,1,22,Yes,1,Yes,1
33,30-39,Female,Research & Development,Sales Executive,19396,3,3,12,No,0,No,0
27,Under 30,Male,Research & Development,Human Resources,8987,2,1,8,No,1,Yes,1
25,Under 30,Male,Research & Development,Research Director,18216,4,3,27,No,0,No,0
45,40-49,Male,Sales,Sales Executive,9269,1,1,6,Yes,1,Yes,1
56,50+,Male,Research & Development,Sales Executive,7593,2,2,22,No,0,No,0
46,40-49,Male,Research & Development,Research Director,18991,3,2,19,No,0,No,0
58,50+,Male,Research & Development,Research Scientist,15768,2,2,5,Yes,0,No,0
30,30-39,Male,Human Resources,Research Scientist,14121,4,3,19,No,0,No,0
43,40-49,Male,Research & Development,Sales Executive,16602,1,3,23,No,0,No,0
21,Under 30,Male,Research & Development,Laboratory Technician,18704,3,2,16,No,0,No,0
51,50+,Male,Sales,Manager,7633,3,2,18,No,0,No,0
35,30-39,Male,Sales,Manufacturing Director,7275,4,1,21,No,0,No,0
39,30-39,Female,Sales,Manager,16063,3,2,18,No,0,No,0
28,Under 30,Female,Sales,Research Scientist,4005,4,2,23,Yes,1,No,0
26,Under 30,Female,Sales,Healthcare Representative,3625,3,1,22,No,1,Yes,1
51,50+,Male,Research & Development,Research Scientist,7909,2,3,20,No,0,No,0
58,50+,Male,Human Resources,Laboratory Technician,9516,2,1,15,No,1,Yes,1
35,30-39,Male,Human Resources,Research Scientist,2633,3,3,22,No,0,No,0
39,30-39,Male,Sales,Sales Representative,15875,3,2,26,No,0,No,0
58,50+,Male,Sales,Manager,12189,2,2,24,Yes,1,Yes,1
27,Under 30,Male,Sales,Laboratory Technician,19140,1,3,12,No,0,No,0
45,40-49,Female,Human Resources,Manager,4757,3,3,2,Yes,1,Yes,1
40,40-49,Female,Sales,Laboratory Technician,14838,3,1,24,Yes,1,Yes,1
20,Under 30,Female,Research & Development,Sales Representative,5379,1,2,22,No,1,No,0
24,Under 30,Female,Sales,Manufacturing Director,8129,3,1,10,No,1,No,0
25,Under 30,Female,Research & Development,Sales Representative,13345,2,3,27,No,1,No,0
49,40-49,Male,Research & Development,Manufacturing Director,10139,1,1,23,No,0,No,0
18,Under 30,Male,Research & Development,Human Resources,11837,3,3,1,No,0,No,0
42,40-49,Female,Research & Development,Healthcare Representative,6538,1,1,9,No,1,No,0
43,40-49,Male,Human Resources,Research Director,17761,2,2,2,No,0,No,0
52,50+,Male,Sales,Research Director,19979,1,1,23,No,0,Yes,1
30,30-39,Female,Research & Development,Sales Representative,16214,1,2,13,No,1,No,0
45,40-49,Male,Research & Development,Manufacturing Director,12391,2,3,1,No,0,No,0
28,Under 30,Female,Sales,Human Resources,14661,3,3,4,No,0,No,0
29,Under 30,Male,Sales,Healthcare Representative,13523,1,1,15,No,1,No,0
45,40-49,Male,Research & Development,Sales Executive,10987,2,1,11,No,0,Yes,1
42,40-49,Female,Research & Development,Manufacturing Director,12991,1,1,11,No,1,No,0
46,40-49,Female,Human Resources,Manufacturing Director,10541,4,1,6,Yes,1,No,0
18,Under 30,Male,Sales,Healthcare Representative,11137,2,2,29,Yes,1,Yes,1
57,50+,Female,Research & Development,Healthcare Representative,15627,4,1,9,No,0,No,0
40,40-49,Male,Sales,Manufacturing Director,6501,4,1,9,No,0,No,0
42,40-49,Male,Sales,Research Director,18852,2,3,13,No,0,No,0
34,30-39,Male,Research & Development,Manager,9039,2,2,0,No,1,Yes,1
24,Under 30,Male,Research & Development,Laboratory Technician,6935,4,1,4,Yes,1,Yes,1
59,50+,Female,Research & Development,Human Resources,7584,4,2,11,Yes,1,No,0
47,40-49,Male,Sales,Manufacturing Director,17089,1,3,16,Yes,1,No,0
23,Under 30,Male,Sales,Sales Executive,2336,4,1,15,Yes,1,Yes,1
48,40-49,Female,Sales,Manufacturing Director,8812,1,1,22,Yes,1,Yes,1
25,Under 30,Male,Research & Development,Sales Representative,17366,2,3,27,No,0,No,0
46,40-49,Male,Research & Development,Manufacturing Director,19932,4,2,22,No,0,No,0
42,40-49,Female,Research & Development,Human Resources,3869,2,3,16,No,1,No,0
26,Under 30,Male,Research & Development,Manager,9099,3,2,0,Yes,1,No,0
48,40-49,Male,Human Resources,Laboratory Technician,14156,2,1,9,Yes,1,No,0
55,50+,Female,Research & Development,Sales Executive,4698,1,3,5,No,1,No,0
46,40-49,Male,Research & Development,Research Director,19753,1,3,27,No,0,No,0
33,30-39,Female,Research & Development,Laboratory Technician,9934,4,1,4,Yes,0,Yes,1
54,50+,Female,Research & Development,Human Resources,3197,3,2,8,Yes,1,No,0
25,Under 30,Female,Research & Development,Manager,2832,3,3,8,No,0,No,0
22,Under 30,Male,Research & Development,Human Resources,5068,1,2,0,No,0,Yes,1
